i,j,k,C_ijk
26161402201,26161404600,26163542100,6.331035954837729
26161402201,26161404600,26163532600,5.901032004728915
26163566700,26163573501,26163590401,-5.746535973490137
26161402201,26161404600,26163517500,5.692705286731276
26161400500,26161404600,26163517500,5.646599998690091
26161402201,26161404600,26163520300,5.607901200489428
26125166000,26163574000,26163590401,-5.584005206914718
26125197701,26161402201,26161404600,5.421476155600546
26125137102,26125168400,26163573600,-5.41030491268742
26093730101,26161455000,26163985400,5.344336854694735
26099220002,26099241900,26147641000,-5.331635403300453
26099215202,26125128400,26125197600,-5.283250141670507
26125141400,26125183500,26125196100,5.254722325527182
26125138600,26161422202,26163587900,5.2085765340222885
26099226700,26125196800,26163552000,-5.191421578126245
26163561900,26163574000,26163590401,-5.146430766936149
26099221100,26125150500,26147629000,5.1403684589049945
26125197702,26147622000,26147643000,5.132002782832267
26125191100,26125193700,26125196100,5.087385804660499
26125132600,26163520200,26163579900,5.049982684533743
26125193100,26161402201,26161404600,5.043506534348298
26125162000,26125183500,26147644000,-5.028872641940787
26161406000,26163520200,26163579900,5.016839061618493
26115830700,26161402201,26161406000,4.986125938193928
26099221100,26125154500,26147629000,4.98200487636323
26161402201,26161404600,26163520200,4.96087505073568
26099226700,26163510600,26163983800,4.957213408230377
26115830300,26161456000,26163563900,4.939706726612661
26161422202,26163572100,26163587900,-4.92825740948446
26125165200,26125197600,26163562800,-4.921397630528083
26125142300,26125197702,26147622000,4.912975510384137
26125166000,26161402201,26161404600,4.908913673873334
26125167000,26161402201,26161404600,4.905794950297365
26125141400,26125183500,26163594401,4.905246861066551
26125160300,26161400500,26161404600,4.894009089368631
26125153200,26161402201,26161406000,4.882457977965198
26115830801,26161400100,26161423400,4.868050595569685
26163558301,26163574000,26163590401,-4.866254705727334
26125136601,26125197500,26147634600,-4.850778316243625
26099263600,26125181200,26125196800,-4.842239055002485
26093744400,26125138600,26163587900,-4.838204382970568
26115832500,26161404600,26163587900,4.829803464703976
26099228000,26099262700,26099262800,-4.825129922811801
26163558301,26163567800,26163573000,4.823783883972007
26163558301,26163564200,26163573000,4.820498072087155
26161400500,26161404600,26163562700,4.817966104883915
26099226700,26125168400,26163510600,-4.809866032755247
26099221100,26147629000,26163579900,-4.809533779877519
26115830200,26115831600,26163585800,-4.80401376695135
26099211000,26099224001,26147655100,-4.790868681431643
26099221100,26099254100,26147629000,4.787413276830635
26161402201,26161404600,26163520800,4.785349468919113
26161402201,26161404600,26163530200,4.784368879974525
26115830200,26161404600,26163587900,4.776641205812757
26163556500,26163574000,26163590401,-4.76210819617284
26099231800,26099247301,26125198100,4.761386967169409
26125128600,26125139400,26125152000,4.758562154026418
26163517500,26163564700,26163567100,4.758460783183002
26125161000,26125162300,26163574203,-4.748382111265272
26163567100,26163574000,26163590401,-4.74556148140464
26099221100,26099263700,26147629000,4.73968747861778
26125141400,26125142600,26125183500,-4.733959244415193
26161402201,26161404600,26163520700,4.733086163115727
26125150500,26163520200,26163552801,-4.728747107804008
26125139400,26125152000,26125184500,4.717954155394772
26099242500,26161402201,26161404600,4.717419002499566
26093725000,26125168700,26163561600,4.715716688872002
26125168400,26161420000,26163587900,-4.711361091429756
26161403600,26163520200,26163552801,-4.705197760273962
26099218002,26147649000,26163517200,4.704277366028824
26125141400,26125157800,26125183500,-4.693387348792719
26125141400,26125183500,26125196600,4.691051421639071
26099226700,26163520700,26163552400,-4.688506197273513
26093742403,26125168700,26163517500,-4.68155318826917
26115830700,26161402201,26161404600,4.681132379626524
26093740300,26099242500,26161461000,4.67885127256065
26099206700,26099242500,26147657200,-4.673735899492439
26099215202,26125136101,26125181600,4.672666121262916
26115830300,26115833800,26163561302,-4.657557452162301
26125161800,26163569200,26163570500,4.64292880680373
26093725000,26125125000,26125132500,-4.632852231148947
26125197702,26147623000,26147634100,4.629396621365502
26125138600,26163562500,26163587900,4.627151744971918
26125141500,26125168700,26163561600,4.6191829189224665
26125152900,26161400500,26161404600,4.613968375632129
26125126200,26125127500,26125193300,-4.610598495103375
26125160300,26125166000,26125196000,-4.6089373906053295
26125127500,26125150300,26125173400,-4.607014115092506
26093710300,26125134900,26125136700,-4.60154058096046
26115833300,26163583200,26163586201,-4.600908644246381
26093722100,26093724003,26093744200,4.596487238621301
26125166000,26161402201,26161406000,4.595464843125328
26115830300,26115833800,26125183500,-4.586969261835104
26099225200,26125136601,26125196000,4.585158816872038
26161400100,26161423400,26163564900,4.584189973895486
26099262300,26125168700,26163561600,4.58359802201907
26163520200,26163546100,26163579900,-4.580812471733152
26161402201,26163553000,26163574000,-4.579364859938643
26125129000,26125167300,26125168400,-4.575273243057936
26125152000,26161402201,26161406000,4.574542036735368
26099226700,26125152000,26163552000,-4.5699116532213235
26099227000,26099263400,26099268200,4.5659284634722015
26125133101,26125139400,26125152000,4.564070352955922
26099240000,26099982300,26125190200,4.555714186803091
26161423400,26163587000,26163589300,4.554909738773375
26125160900,26163574000,26163590401,-4.548023645025985
26093742202,26125168700,26161412300,-4.543256111311811
26125141400,26125183500,26161980102,4.541650424811625
26099215202,26099241700,26125136602,-4.538130740698807
26161402201,26161406000,26163520200,4.535473020416097
26125160000,26163520200,26163565100,-4.5345736411158635
26099215202,26099222105,26161404500,-4.527140622825857
26163558301,26163573000,26163590401,-4.52408770134951
26161400500,26161404600,26163520200,4.518688397910819
26125127700,26125170000,26125171000,-4.517706265523914
26163563900,26163566500,26163586201,4.517287722081108
26125136300,26125160900,26163560400,-4.517068532133001
26163520700,26163552801,26163586201,-4.516841087135684
26125161000,26163556900,26163561200,-4.514897924827056
26163574000,26163590401,26163982102,-4.5099123092120585
26163520700,26163552400,26163586201,-4.509833100059198
26125166000,26125196000,26163562800,-4.5091321936246045
26125136602,26147649000,26163517200,4.507846854959206
26099243502,26099255400,26125152000,4.5076462263239145
26125134900,26163561600,26163564503,-4.504444361671312
26099226700,26163517200,26163552000,-4.503671085128615
26125133102,26125152000,26147637100,-4.498907108621252
26099223801,26099231800,26125198100,-4.495683010785651
26099240900,26099263200,26163587900,4.493413190952565
26125168700,26163561600,26163582100,4.491870304513857
26125168700,26163561600,26163575401,4.485624301114783
26115831600,26163566700,26163590401,4.485352464894325
26125139400,26125197500,26163561302,4.482926465475152
26161455000,26163587000,26163589402,4.48246684826327
26099225600,26125150100,26125192700,-4.47575483267434
26099225600,26125141400,26125183500,4.471583798429386
26125168700,26163533900,26163561600,-4.471299380125453
26115830300,26115833800,26163577100,-4.469931841770892
26125161600,26163583200,26163586201,-4.469375194656739
26099228000,26147622000,26147655100,4.467472913209341
26125139400,26125150200,26163561302,4.467174996060328
26163517500,26163564100,26163567100,4.466298148239575
26125160900,26147622000,26147655100,4.4650907843035315
26161402201,26161404600,26163554500,4.464196493482476
26099215202,26099222105,26125197600,-4.46015942151368
26115830900,26115831600,26163590401,-4.4539053128165875
26099242500,26125142300,26125152600,-4.451150920777009
26125167300,26125168400,26163538500,-4.450849003191578
26125167000,26161400500,26161404600,4.447952858134639
26099221100,26099254100,26161455000,4.447643653768983
26125167900,26125197600,26163520700,4.438279399028809
26099225200,26099245200,26099982300,4.436290077332724
26099254100,26163520200,26163579900,4.431250581722085
26099218001,26125183500,26147644000,-4.430790100989723
26125132100,26163520800,26163525700,-4.428759209193208
26125139400,26161404500,26163561302,4.427398763561095
26125181100,26125184000,26125184100,4.427334997147717
26115830300,26115833800,26163520800,-4.426475163384615
26125161600,26161400500,26161404600,4.425728141184111
26099221100,26099262900,26147629000,4.420908855880887
26099982200,26115830300,26115833800,-4.417684701984606
26093710300,26093744800,26125136700,-4.413265528143933
26115830300,26115833800,26163522800,-4.411749425918929
26125133101,26125197600,26163562800,-4.40891021062314
26125139400,26125167500,26163561302,4.408770204171505
26125158000,26125192400,26161980102,-4.401729971207557
26099255900,26163517200,26163558301,4.401008342168528
26099226400,26125141001,26125142200,-4.399554386404667
26125133102,26125134900,26125167900,4.3973549922085935
26115830300,26115833800,26163520700,-4.3971429438689285
26115830300,26115833800,26125981500,-4.389177579753746
26099263200,26163507000,26163564402,-4.386032137155183
26125197500,26147634600,26163518900,-4.38595194316225
26115830300,26115833800,26163517500,-4.385238535800284
26163517500,26163520200,26163591600,-4.384775980279746
26099226700,26125192400,26163510600,-4.382555819641007
26099256200,26099268400,26125136601,-4.381441666279143
26099255000,26099264200,26163551300,-4.378974765930509
26125196500,26161404500,26163580900,-4.3764563036864494
26093730101,26093744200,26161455000,-4.375310676897639
26125197702,26147622000,26147655100,4.374902891961837
26115831400,26125197500,26163587900,4.3724593712517485
26099218002,26099982300,26125139400,4.370116306819858
26125141500,26125150100,26125162200,-4.368509909524372
26093741100,26161402201,26163542100,-4.368219830020974
26161400500,26161404600,26163579900,4.367201206649086
26099221100,26161455000,26163589402,-4.36482589520759
26125160500,26125193100,26161402201,4.363847981323158
26125141500,26161402201,26161404600,4.363713688310037
26125181600,26125184200,26125194200,4.363568582922685
26125168400,26163573600,26163587900,-4.359179925522093
26115830300,26115833800,26163983902,-4.35888373354798
26099226700,26125196500,26163510600,-4.358086263944902
26099230902,26161402201,26161404600,4.3556365772306345
26161402201,26161406000,26163517200,4.3535637393507844
26125144100,26125194600,26125196200,-4.351000161765282
26115833300,26125981500,26163566700,-4.3423847060420915
26093725101,26093744800,26161455000,-4.3401996901865445
26125128900,26125134300,26125144400,-4.336961589943496
26161454002,26163584200,26163587900,-4.335060258391537
26093710300,26125134500,26163518900,4.334875792102505
26099225800,26099226102,26125128900,4.331659760351239
26125162000,26125196800,26163501600,-4.331217411384188
26125137102,26125161000,26163558400,-4.330718595825839
26099220002,26147623000,26147641000,-4.32928909896859
26125160900,26147634600,26147657200,4.326286209049248
26115830300,26115831300,26115833800,4.322537336323645
26161400800,26161423400,26163533900,4.3204638888637685
