geoid,phi
26093710100,0.0
26093710300,-0.20758569975345986
26093710500,-0.26698816510319207
26093710700,0.8044589310422597
26093711000,0.040511373223652926
26093712101,0.2718850017215676
26093712102,0.0032040625501237293
26093712601,-0.35929818959581045
26093712602,-0.4750773558052304
26093713100,-0.9675783694994357
26093713300,-1.7573668254120391
26093713500,-0.7787255024154807
26093713700,-0.928702276226633
26093720100,0.375882971411438
26093721100,0.019959245219365616
26093722100,-0.49562413773189795
26093722300,-0.7425570987457966
26093722500,-0.29558322363269407
26093724001,-1.2436077819899032
26093724002,-0.9991649377388763
26093724003,-0.16667559521407888
26093725000,-1.3160476766773788
26093725101,-1.131465757802259
26093730101,0.2783716558528742
26093730102,-0.8025790476688855
26093730600,-0.3062952581066168
26093731100,0.032463174384036814
26093732100,0.31006260195757507
26093733100,-0.20330569302794688
26093733603,-0.6572194295200157
26093733604,0.026770546066136082
26093740200,-1.3552421026193624
26093740300,-1.3786955913764953
26093740500,-0.9533159192162515
26093740600,-1.0432204207870943
26093740700,-0.27688805602548955
26093740800,-1.68269279980829
26093740900,-1.7722434337978523
26093741100,-1.6988062545670146
26093741601,-2.0329064867964814
26093741602,-1.4558449609492001
26093742201,-1.3690651301090242
26093742202,-1.2651836650485695
26093742403,-1.4239089617891996
26093742500,-0.32590726965481287
26093742700,-0.7187538880240544
26093742900,-1.5717974395697765
26093743300,0.2735466756939262
26093743400,-0.19281471905610859
26093743500,-0.08929152668607239
26093743600,-0.45911022642314
26093743700,-1.1575911690670637
26093743800,-0.435626477468363
26093743900,-0.4366501314814952
26093744200,-1.362000283428819
26093744400,-1.2552407535195265
26093744600,-1.5616800910946602
26093744700,-0.3704778330872448
26093744800,-1.5925639135846135
26093744900,0.3822317489046328
26099206700,-1.393942372767242
26099210000,-0.6924197422719791
26099211000,-0.9722086267748495
26099212000,-1.1145040469558665
26099214000,-1.1098296016553522
26099214500,-0.6480533518961143
26099215000,-1.3107406223290512
26099215201,-0.6599400313189043
26099215202,-1.5464729363749783
26099215300,-1.1238519249179406
26099215500,-0.8710050193704681
26099216000,-0.4917449115235418
26099217000,-0.1042298618845916
26099218001,-0.8633979306666161
26099218002,-0.9916711986651203
26099220002,-1.080743389227433
26099220003,-0.019434852571332942
26099220004,-0.7760321648944855
26099221100,-1.3293299184121088
26099221200,-0.7917039022395728
26099221500,-1.7364710068717908
26099221800,-0.5780187879287594
26099222103,-1.2581691225405967
26099222104,0.3304146897896058
26099222105,-1.0479736119602028
26099222106,-0.8899834977806823
26099222500,-0.9493205309848884
26099222800,-0.409822087236648
26099223401,-0.7774290488470059
26099223402,-1.0481832150299413
26099223500,-0.24902997278068983
26099223801,-0.3321461600889797
26099223802,-0.7385466664567918
26099223803,-0.3197473147905092
26099223901,-0.6115910180783087
26099223902,-1.5419870731137266
26099224001,-1.220315268672962
26099224002,-0.48449822922717195
26099224101,-0.9086875492098736
26099224102,-0.806749838733032
26099224201,-1.2120265008606161
26099224202,-0.9800048717617378
26099224300,-0.571375298966093
26099224400,-0.8097076930787847
26099224500,-0.8065750641451822
26099224600,-0.8953762913823523
26099225100,-1.392236026162636
26099225200,-1.240623923683336
26099225300,-0.9647670575246975
26099225401,-0.6859516154905353
26099225402,-0.8836603090580152
26099225500,-0.9611619863803669
26099225600,-1.0841744961393747
26099225701,-1.1130668643652035
26099225702,-0.38484140044990195
26099225800,-1.3702230941133486
26099225900,-1.2636146583359629
26099226101,-1.4224473042052423
26099226102,-0.42678192456763486
26099226400,-1.7176393024765166
26099226700,-1.5932287439271462
26099227000,-1.3764304141689847
26099227300,-1.5524389538753884
26099228000,-1.445058146291251
26099228100,-1.826241378817897
26099230000,-1.5134761293457046
26099230200,-0.45807460901451913
26099230300,-1.3654984051383494
26099230400,-0.4758500955211566
26099230501,-1.6278607748330556
26099230502,-2.4504222111698732
26099230602,-1.230085020086643
26099230603,-1.2069517874566882
26099230604,-0.9582810631808334
26099230700,-0.7448104424617236
26099230800,-1.3334812819748116
26099230901,-1.4157097546777386
26099230902,-0.6836307658173223
26099231000,-0.29611747813716416
26099231100,-0.7396782572672185
26099231200,-1.3871529102663864
26099231400,-1.2800494590309135
26099231500,-0.874252853209295
26099231600,-1.446651751106022
26099231700,-1.148228435424204
26099231800,-1.8461577606861455
26099231900,-1.231759353797502
26099232000,-0.7345062746537528
26099232100,-1.1493057598867238
26099232200,-1.1070151872604725
26099232301,-1.229630800635844
26099232400,-1.415480554608151
26099232500,-0.5410815000387998
26099233000,-0.6227849038117157
26099240000,-1.483804087560451
26099240300,-0.870825823187132
26099240400,-1.181317905027576
26099240500,-0.04036078701742346
26099240601,-1.2859658024948029
26099240602,-1.5765550862215376
26099240700,-1.300150961301281
26099240801,-0.34487752786890513
26099240802,-0.06843855547744278
26099240900,-1.4235171933933217
26099241000,-1.2646328502375506
26099241200,-1.2845600818829062
26099241300,-1.2159542713691565
26099241400,-0.9026748590393465
26099241500,-0.9952025381730312
26099241600,-1.1118362579655567
26099241700,-1.0001680255484353
26099241800,-1.2755433075761322
26099241900,-1.2382729476813135
26099242001,-1.749110228483499
26099242002,-1.0967724566193324
26099242003,-0.8860867638021026
26099242100,-0.9812716996525532
26099242500,-1.5189744805827263
26099243000,-1.352483164446162
26099243501,-0.12828739801637049
26099243502,-1.1925755803855467
26099244000,-0.7287216341393143
26099245000,-1.3697166719041443
26099245100,-1.2843662282565216
26099245200,-1.7797940026002117
26099245300,-1.4772754599048084
26099245400,-1.9469083137578134
26099247100,-2.0058243763811046
26099247201,-0.23772461767459646
26099247202,-0.31372295329230365
26099247301,-0.6267277175945195
26099247302,-0.9590478465085
26099247400,-0.3070112446752688
26099247500,-0.8873607235604212
26099247601,-0.5292281858891342
