u,v,strength,dist_km
26115830300,26115833800,3.348365711977894,
26125141400,26125183500,3.230139547700813,
26163520800,26163525700,3.210186222401724,
26125183500,26147644000,3.070416808724061,
26163558301,26163573000,3.054044451972286,
26093724001,26093743800,2.922111336702505,
26093730102,26125132600,2.9146934948236587,
26163574000,26163590401,2.90835477633231,
26093730101,26161455000,2.886175902923196,
26161400500,26161404600,2.865610547291864,
26163517500,26163567100,2.86343087718346,
26161421100,26163588101,2.844855251768769,
26099215202,26125197600,2.835900273393003,
26099221100,26147629000,2.835427999393606,
26161402201,26163542100,2.815497231362953,
26125139400,26125152000,2.809841026375784,
26093724003,26093744200,2.7975179896066087,
26163564401,26163565301,2.792825297674669,
26161980102,26163542100,2.7920065617728542,
26099982300,26163500800,2.787478985389896,
26163552000,26163985200,2.768249902745532,
26163520200,26163552801,2.720658567000803,
26099255800,26099982300,2.715338196517698,
26093740300,26161461000,2.6946010567096548,
26125167900,26125197600,2.675657625406166,
26099240900,26099263200,2.668748451459013,
26147649000,26163517200,2.618940998412353,
26093724001,26161448000,2.6057984837448487,
26125133102,26161403600,2.605326497621446,
26147622000,26147643000,2.605001527891904,
26125197500,26147634600,2.597441290808845,
26093725000,26125125000,2.5923262354910315,
26161405200,26163985400,2.5699233517214672,
26161402201,26161404600,2.5638044594599454,
26093710300,26125136700,2.547378944132276,
26161422202,26163587900,2.544096450951,
26125168700,26163561600,2.53223546416362,
26099212000,26147630400,2.5060913077442613,
26125197400,26163539600,2.502065457024309,
26125139400,26163561302,2.4936169635215486,
26099214000,26125129000,2.482315727397604,
26125168400,26125172400,2.4726480463293825,
26163520800,26163533100,2.466376959143897,
26163510600,26163983800,2.4649720717549712,
26099224202,26125191000,2.4636562508047604,
26125193100,26161402201,2.4607234736879597,
26099263200,26163550100,2.4588864197034144,
26099240000,26125190200,2.4516310672157515,
26125166700,26125168901,2.4495384689529924,
26163524200,26163983903,2.4474944326576837,
26125138600,26163587900,2.446856489654017,
26161444000,26163562800,2.442849957549762,
26099261300,26163533900,2.4304115089357428,
26125132700,26125156200,2.4179127494088872,
26093742403,26163517500,2.4116330583960672,
26099262200,26163518900,2.4105102679328634,
26099258500,26099263200,2.4103030536526244,
26163573400,26163590401,2.410164727903182,
26161400300,26161406000,2.410006665373196,
26163520800,26163530900,2.40816936188604,
26125161800,26163570500,2.3815912695237063,
26163541000,26163983800,2.37795140574433,
26099221100,26125141500,2.3674772970969733,
26147655600,26147657200,2.3662958892843315,
26125137102,26163573600,2.36537207721335,
26115833300,26163586201,2.3571289381649345,
26161410300,26163588101,2.3562803578785694,
26125159000,26161405600,2.3541319261972014,
26163553000,26163574000,2.35279226425676,
26099263600,26163520200,2.348085047594163,
26163568200,26163588101,2.340721506486432,
26161402201,26161406000,2.338650434392693,
26099221100,26147621000,2.338355244977341,
26163555100,26163560400,2.338135159138237,
26099268400,26125183800,2.3261203560503243,
26099231800,26125198100,2.325309911865302,
26161402201,26161980500,2.323231430381166,
26163517500,26163520200,2.318629298050323,
26093741100,26163564402,2.316794309189039,
26163587000,26163589300,2.310899328117902,
26163520700,26163552400,2.306737285551397,
26163520700,26163526200,2.3066543108113,
26099256100,26099982300,2.305283545048368,
26093742403,26125183500,2.30318640596135,
26125191100,26125196100,2.302175795259488,
26093744800,26163562800,2.299269193459798,
26163557300,26163560400,2.2950137828215,
26161980102,26161980200,2.291797818558761,
26125126200,26125127500,2.291038603205531,
26161412000,26163562800,2.283955195210396,
26099215202,26125167000,2.2829002356569497,
26163520200,26163579900,2.28156386831376,
26115830802,26161980102,2.2815325493906724,
26125162200,26163543300,2.280530940665636,
26099263600,26125196800,2.277910918947402,
26163520700,26163525800,2.2770705354013967,
26163515300,26163520300,2.2763033393120824,
26125156900,26125193000,2.263981077636433,
26099224201,26099242001,2.2603612941257083,
26099982200,26163550600,2.260123827028188,
