geoid,lat,lon
26093710100,42.7751193,-83.7129378
26093710300,42.744287,-83.7749936
26093710500,42.750842,-83.7333696
26093710700,42.7200766,-83.7182379
26093711000,42.7467018,-83.8657695
26093712101,42.6552668,-83.9051422
26093712102,42.6666203,-83.8490549
26093712601,42.6144767,-83.8856955
26093712602,42.6124793,-83.8249359
26093713100,42.66599,-83.7134045
26093713300,42.6671936,-83.7743494
26093713500,42.6263733,-83.7110769
26093713700,42.6113129,-83.7673269
26093720100,42.7386083,-84.0906427
26093721100,42.7325397,-83.9747918
26093722100,42.6682882,-84.0900604
26093722300,42.6593804,-84.0737435
26093722500,42.6318011,-84.0870794
26093724001,42.616017,-84.0021992
26093724002,42.6545565,-83.9894791
26093724003,42.6584895,-83.926721
26093725000,42.6170989,-83.9332235
26093725101,42.6012853,-83.9341682
26093730101,42.5781224,-84.0072081
26093730102,42.5668248,-83.9396705
26093730600,42.5201746,-83.9787227
26093731100,42.5533187,-84.0803383
26093732100,42.4719749,-84.074565
26093733100,42.4923628,-83.9774198
26093733603,42.4514807,-83.9191828
26093733604,42.4439659,-83.9810549
26093740200,42.5642452,-83.7026909
26093740300,42.5936549,-83.7674667
26093740500,42.5665773,-83.782979
26093740600,42.5669591,-83.7547169
26093740700,42.5588457,-83.7275845
26093740800,42.5256516,-83.7386731
26093740900,42.5398921,-83.7640492
26093741100,42.5388608,-83.7939714
26093741601,42.526145,-83.7914577
26093741602,42.5167176,-83.7831035
26093742201,42.5772365,-83.8150497
26093742202,42.563473,-83.806214
26093742403,42.5875864,-83.8728434
26093742500,42.544465,-83.8862855
26093742700,42.5529419,-83.8538109
26093742900,42.5364638,-83.8239378
26093743300,42.4937413,-83.7982996
26093743400,42.4942962,-83.8576787
26093743500,42.4680975,-83.8829428
26093743600,42.4745564,-83.8479006
26093743700,42.4442933,-83.803602
26093743800,42.4407411,-83.8535899
26093743900,42.4438653,-83.8907768
26093744200,42.4954038,-83.7241765
26093744400,42.5036714,-83.7810598
26093744600,42.4688265,-83.7790136
26093744700,42.4559394,-83.727062
26093744800,42.4668194,-83.677287
26093744900,42.4362046,-83.730963
26099206700,42.8059331,-83.004468
26099210000,42.8508166,-82.8072314
26099211000,42.8100806,-82.7546883
26099212000,42.8559188,-82.9123841
26099214000,42.8547421,-83.008896
26099214500,42.8489807,-83.0563907
26099215000,42.7795008,-83.0265857
26099215201,42.7404823,-83.043475
26099215202,42.7343394,-83.0802717
26099215300,42.7238974,-83.0390244
26099215500,42.7358674,-83.0005666
26099216000,42.7621506,-82.9204704
26099217000,42.7739786,-82.8136204
26099218001,42.7297621,-82.7970398
26099218002,42.7422745,-82.768528
26099220002,42.6751585,-82.7444304
26099220003,42.7016522,-82.7486117
26099220004,42.6921061,-82.720926
26099221100,42.6548876,-82.8440971
26099221200,42.6667818,-82.8063857
26099221500,42.7076282,-82.8292108
26099221800,42.7068374,-82.7756395
26099222103,42.6853113,-82.8349847
26099222104,42.6855739,-82.8106974
26099222105,42.6851285,-82.7726069
26099222106,42.6807812,-82.7993532
26099222500,42.6593635,-82.7688248
26099222800,42.655689,-82.7907353
26099223401,42.6598807,-82.8780366
26099223402,42.6337937,-82.8784468
26099223500,42.703102,-82.8827369
26099223801,42.6933511,-82.9684588
26099223802,42.7091274,-82.9469438
26099223803,42.6891663,-82.9408833
26099223901,42.6800845,-82.9222408
26099223902,42.6752398,-82.963996
26099224001,42.6660725,-82.9503847
26099224002,42.6656273,-82.9102758
26099224101,42.6521583,-82.9072921
26099224102,42.6490276,-82.9265875
26099224201,42.635871,-82.9261759
26099224202,42.6344062,-82.9106685
26099224300,42.6493086,-82.9653986
26099224400,42.6508405,-82.9471225
26099224500,42.634855,-82.9645784
26099224600,42.6355037,-82.9458814
26099225100,42.6904834,-83.0244489
26099225200,42.6933244,-83.039639
26099225300,42.6990166,-83.0637653
26099225401,42.690048,-83.0809138
26099225402,42.7049187,-83.0834863
26099225500,42.6756696,-83.0743601
26099225600,42.6381149,-83.0795415
26099225701,42.6312787,-83.0637229
26099225702,42.6466933,-83.0663254
26099225800,42.6625061,-83.0634452
26099225900,42.651572,-83.0279329
26099226101,42.7040054,-82.9857112
26099226102,42.6996167,-83.0092212
26099226400,42.6763514,-82.9970276
26099226700,42.6658304,-82.9989484
26099227000,42.6506581,-82.9971064
26099227300,42.6359234,-82.9823936
26099228000,42.630554,-83.0120529
26099228100,42.6292955,-83.038086
26099230000,42.6196998,-82.9868613
26099230200,42.6009844,-83.0033007
26099230300,42.6183267,-83.0023234
26099230400,42.6174748,-83.0239325
26099230501,42.6137386,-83.0383691
26099230502,42.5980083,-83.0366658
26099230602,42.6009047,-83.0706845
26099230603,42.6167006,-83.0615628
26099230604,42.6161613,-83.0813431
26099230700,42.5863683,-83.0822161
26099230800,42.5897956,-83.0648941
26099230901,42.5882352,-83.0199874
26099230902,42.5962935,-83.0235006
26099231000,42.5819401,-82.9998482
26099231100,42.5690872,-82.9896136
26099231200,42.5738675,-83.0206681
26099231400,42.5688955,-83.0599903
26099231500,42.5729272,-83.0774756
26099231600,42.5606318,-83.0804948
26099231700,42.557462,-83.0591033
26099231800,42.5586866,-83.0194985
26099231900,42.5594274,-82.9990423
26099232000,42.558516,-82.982007
26099232100,42.5466901,-82.9874817
26099232200,42.5410268,-83.0179474
26099232301,42.5430438,-83.0584199
26099232400,42.5426164,-83.0781563
26099232500,42.6022163,-82.9862098
26099233000,42.5930355,-82.9784485
26099240000,42.6199454,-82.8744394
26099240300,42.6029345,-82.9633873
26099240400,42.5908354,-82.9602257
26099240500,42.5779103,-82.9627633
26099240601,42.5848545,-82.9467159
26099240602,42.5938595,-82.9379521
26099240700,42.579147,-82.936503
26099240801,42.5779154,-82.9225597
26099240802,42.577186,-82.9147474
26099240900,42.5756894,-82.900889
26099241000,42.5782088,-82.8750252
26099241200,42.5617999,-82.9083931
26099241300,42.5633627,-82.9260016
26099241400,42.5606604,-82.9412542
26099241500,42.5602831,-82.9604269
26099241600,42.5467611,-82.9249962
26099241700,42.5478444,-82.9119599
26099241800,42.5451481,-82.884728
26099241900,42.5618601,-82.8834687
26099242001,42.6100056,-82.9609019
26099242002,42.6254529,-82.9695221
26099242003,42.6162223,-82.9679162
26099242100,42.5617943,-82.8665345
26099242500,42.615157,-82.9429276
26099243000,42.6190197,-82.925109
26099243501,42.616246,-82.9079478
26099243502,42.6242623,-82.9011364
26099244000,42.603219,-82.9201758
26099245000,42.6001817,-82.8664728
26099245100,42.6048738,-82.8821923
26099245200,42.6068764,-82.8926592
26099245300,42.5902884,-82.8914911
26099245400,42.5875854,-82.8758899
26099247100,42.6118232,-82.8550942
26099247201,42.5826327,-82.8373918
26099247202,42.5783206,-82.8534607
26099247301,42.5759043,-82.7922249
26099247302,42.6041115,-82.7891713
26099247400,42.5708636,-82.8268413
26099247500,42.5637012,-82.8429196
26099247601,42.5624873,-82.8623645
26099247602,42.5530345,-82.8524694
26099250000,42.537204,-82.869279
26099250100,42.5313441,-82.874123
26099250200,42.5257383,-82.8795525
26099250300,42.5352132,-82.8952285
26099250400,42.5177284,-82.9010981
26099250500,42.5176429,-82.893636
26099250600,42.5162474,-82.883618
26099250700,42.5061325,-82.8859088
26099250800,42.5065204,-82.9082526
26099250900,42.4991866,-82.9078458
26099251000,42.4998081,-82.8872545
26099251100,42.4908002,-82.8841619
26099251200,42.4820722,-82.8849489
26099251300,42.4888502,-82.9029136
26099251400,42.4877726,-82.9123809
26099251500,42.4769314,-82.9100324
26099251600,42.472693,-82.8793045
26099251700,42.4674381,-82.8940531
26099251800,42.4582759,-82.9182234
26099251900,42.4585458,-82.9061844
26099252000,42.4619159,-82.8915679
26099252100,42.4545599,-82.8967925
26099252200,42.4565069,-82.8756121
26099254000,42.5439179,-82.9401057
26099254100,42.5459975,-82.963414
26099254200,42.5275946,-82.9591536
26099254500,42.5345914,-82.9363743
26099255000,42.531719,-82.9171726
26099255100,42.5173176,-82.9130987
26099255200,42.5206312,-82.935395
26099255300,42.5131655,-82.9406965
26099255400,42.5172926,-82.9601395
26099255500,42.5053782,-82.9581393
26099255600,42.5060155,-82.9395307
26099255700,42.5059378,-82.924776
26099255800,42.4983898,-82.9271768
26099255900,42.4985851,-82.941787
26099256000,42.4978673,-82.9579484
26099256100,42.4904523,-82.9597083
26099256200,42.4910871,-82.9463999
26099256300,42.4908078,-82.9351052
26099256400,42.4912796,-82.923115
26099256500,42.4840704,-82.9218086
26099256600,42.483628,-82.9357976
26099256700,42.4838855,-82.9520478
26099256800,42.4835809,-82.9629119
26099258000,42.4735226,-82.922429
26099258100,42.4761583,-82.938246
26099258200,42.4763596,-82.9592308
26099258300,42.4685712,-82.9636535
26099258400,42.4686004,-82.9414398
26099258500,42.4568132,-82.9304497
26099258600,42.4599058,-82.9387827
26099258700,42.46081,-82.9537602
26099258800,42.4535866,-82.9544241
26099258900,42.458764,-82.9666871
26099260000,42.534101,-82.9796042
26099260100,42.5264659,-82.9785529
26099260200,42.525254,-82.9981416
26099260300,42.5331155,-82.9979853
26099260400,42.5294712,-83.0187008
26099260600,42.5319758,-83.0523745
26099260700,42.5246441,-83.0555163
26099260800,42.5276648,-83.077369
26099260900,42.5128492,-83.0768207
26099261000,42.5154581,-83.0562942
26099261100,42.5140229,-83.0179833
26099261200,42.5180204,-82.9977831
26099261300,42.5108965,-82.9974121
26099261400,42.5190223,-82.9784328
26099261500,42.5118291,-82.9780507
26099261601,42.5040715,-82.9823926
26099261700,42.5036757,-82.9968476
26099261800,42.4960419,-82.9969821
26099261900,42.4956854,-83.0170761
26099262000,42.5031346,-83.0174817
26099262100,42.4989002,-83.0370529
26099262200,42.4984986,-83.056563
26099262300,42.4974597,-83.0767476
26099262400,42.4831961,-83.0749746
26099262500,42.483681,-83.0518063
26099262600,42.4847604,-83.0112301
26099262700,42.485103,-82.996637
26099262800,42.4852963,-82.976387
26099262900,42.4719493,-82.9780087
26099263200,42.4662854,-83.0279435
26099263400,42.4696409,-83.0550848
26099263500,42.4692649,-83.0745718
26099263600,42.4545873,-83.0739228
26099263700,42.4549003,-83.054472
26099263800,42.4552791,-83.030382
26099263900,42.459635,-83.0160998
26099264000,42.4522849,-83.0156231
26099264200,42.4567641,-82.9785661
26099267600,42.4969307,-82.9775636
26099268000,42.4811846,-83.0217377
26099268100,42.4799631,-83.0329084
26099268200,42.6412669,-82.8201443
26099268300,42.4563257,-82.9916213
26099268400,42.4678633,-83.0021537
26099980000,42.6204189,-82.9580955
26099980100,42.5048675,-82.9730744
26099982001,42.5762709,-83.0422541
26099982002,42.558135,-83.0342354
26099982100,42.6165699,-82.8266518
26099982200,42.4597146,-83.040463
26099982300,42.518869,-83.0356379
26115830100,42.0456483,-83.2514214
26115830200,42.0024931,-83.2778305
26115830300,42.0523047,-83.3425283
26115830400,42.0516656,-83.4033989
26115830500,42.0457819,-83.4830841
26115830600,42.037254,-83.6053303
26115830700,42.0395527,-83.7140281
26115830801,41.9664848,-83.6694188
26115830802,41.9781185,-83.7247121
26115830900,41.9762712,-83.506715
26115831000,41.9272259,-83.5168249
26115831100,41.9729037,-83.3986627
26115831201,41.999764,-83.359725
26115831202,41.9644885,-83.3006072
26115831300,41.9439665,-83.3441661
26115831400,41.9421223,-83.4268894
26115831500,41.9313358,-83.3989449
26115831600,41.9338246,-83.3830912
26115831700,41.9183196,-83.3568859
26115831800,41.8937515,-83.3639464
26115831900,41.913111,-83.391526
26115832000,41.9038978,-83.4001428
26115832100,41.9161276,-83.4078508
26115832200,41.9070586,-83.4155113
26115832300,41.9184734,-83.4353367
26115832400,41.8955237,-83.4498432
26115832500,41.8795879,-83.4017991
26115832600,41.8500726,-83.442564
26115832700,41.8633897,-83.4992902
26115832800,41.8670724,-83.5985389
26115832900,41.8703616,-83.711986
26115833000,41.7721326,-83.7102205
26115833100,41.7848505,-83.6174483
26115833200,41.8018173,-83.5629676
26115833300,41.7443166,-83.628954
26115833500,41.7549085,-83.5485693
26115833600,41.7789384,-83.5107869
26115833700,41.7745935,-83.4638917
26115833800,41.7645734,-83.5883382
26115833900,41.7460066,-83.5885729
26125120000,42.8368068,-83.1134014
26125120300,42.8402322,-83.1915375
26125121000,42.852849,-83.268547
26125121400,42.8482391,-83.3032511
26125121500,42.8214303,-83.2534643
26125121700,42.8209715,-83.3016155
26125121800,42.8064174,-83.2979263
26125122200,42.8614851,-83.3905565
26125122400,42.8172568,-83.3683653
26125122700,42.8148701,-83.4217466
26125122900,42.8484449,-83.4212502
26125123000,42.825978,-83.5441028
26125123100,42.8417221,-83.480889
26125124000,42.8336217,-83.628405
26125124500,42.7987992,-83.6229675
26125125000,42.7621227,-83.6255958
26125125600,42.7152953,-83.6325036
26125126200,42.7781423,-83.4709965
26125126300,42.760698,-83.4902546
26125126400,42.7468993,-83.501225
26125126500,42.728588,-83.5390291
26125127000,42.7728788,-83.3640355
26125127100,42.7685793,-83.4044378
26125127200,42.7361086,-83.4305428
26125127300,42.7143592,-83.4165159
26125127400,42.707316,-83.3899014
26125127500,42.73105,-83.4003698
26125127600,42.7399023,-83.3492945
26125127700,42.7172594,-83.3603298
26125128000,42.7908895,-83.23492
26125128100,42.7823511,-83.2694228
26125128200,42.7563708,-83.3027996
26125128300,42.7293036,-83.3101029
26125128400,42.7390023,-83.2648352
26125128500,42.7705325,-83.2376899
26125128600,42.7765184,-83.2986314
26125128700,42.7494452,-83.3212035
26125128800,42.7173423,-83.3017445
26125128900,42.7351386,-83.2338682
26125129000,42.78046,-83.253553
26125130000,42.6771995,-83.4770102
26125130100,42.678254,-83.5236163
26125130200,42.673662,-83.5474354
26125130300,42.6251123,-83.5351899
26125130400,42.6508696,-83.4594324
26125130500,42.6316614,-83.505083
26125130600,42.627905,-83.4755919
26125130700,42.6284073,-83.4553256
26125131100,42.6723082,-83.612054
26125131300,42.6272778,-83.6155503
26125131400,42.6864351,-83.5709464
26125131500,42.6796225,-83.5946799
26125131600,42.6807048,-83.6595385
26125131800,42.6585745,-83.6465572
26125132100,42.5587768,-83.5800378
26125132500,42.5872716,-83.5931238
26125132600,42.5713345,-83.6492908
26125132700,42.5882951,-83.6060988
26125133001,42.5393215,-83.5479434
26125133002,42.546092,-83.5221889
26125133003,42.5318824,-83.5266159
26125133101,42.5205025,-83.521694
26125133102,42.5019929,-83.5262602
26125134000,42.6068542,-83.4705269
26125134300,42.5752412,-83.4891924
26125134400,42.5801364,-83.4560067
26125134500,42.5622369,-83.4581604
26125134600,42.5485254,-83.4898314
26125134700,42.5454671,-83.475739
26125134800,42.5330918,-83.4470592
26125134900,42.532323,-83.481723
26125135000,42.5566454,-83.5437853
26125135100,42.5782131,-83.5377562
26125135200,42.5384507,-83.5073426
26125135300,42.6035894,-83.5287967
26125136000,42.5040484,-83.4519147
26125136101,42.5041565,-83.4889104
26125136102,42.5158001,-83.5057354
26125136300,42.4587039,-83.4747234
26125136500,42.4603424,-83.44473
26125136601,42.4721447,-83.4589108
26125136602,42.483522,-83.4807275
26125136700,42.4454705,-83.4526504
26125136800,42.5187428,-83.4523322
26125137101,42.4786271,-83.5054204
26125137102,42.4791114,-83.537855
26125137400,42.4447971,-83.5226503
26125137700,42.4484005,-83.4814273
26125137800,42.4407042,-83.4931818
26125138100,42.4468858,-83.6023487
26125138301,42.4997605,-83.665503
26125138302,42.4954176,-83.6278758
26125138600,42.4979167,-83.5875295
26125139201,42.4708825,-83.661554
26125139202,42.4512267,-83.6582592
26125139400,42.4652997,-83.6443953
26125140101,42.6735457,-83.2392469
26125140301,42.6832318,-83.2290392
26125140303,42.6924437,-83.2299365
26125140500,42.6948481,-83.2840556
26125140600,42.6311401,-83.2437757
26125140700,42.6382419,-83.223538
26125140800,42.62731,-83.2237133
26125140900,42.6536504,-83.3146565
26125141001,42.6812601,-83.2773718
26125141002,42.6782319,-83.2566469
26125141100,42.6808777,-83.3053639
26125141200,42.6703921,-83.3169679
26125141300,42.6695129,-83.3029966
26125141400,42.6662755,-83.2875805
26125141500,42.652556,-83.2604664
26125141600,42.6477788,-83.2849045
26125141700,42.6503388,-83.3010459
26125142000,42.6380749,-83.3172031
26125142100,42.6369317,-83.3034086
26125142200,42.6383556,-83.2804587
26125142300,42.6265206,-83.263742
26125142400,42.6282311,-83.2782754
26125142500,42.624647,-83.3053883
26125142600,42.6282783,-83.3193262
26125142700,42.6187335,-83.2859011
26125143500,42.6917102,-83.3255326
26125144100,42.6943744,-83.3889745
26125144200,42.6961734,-83.4305046
26125144301,42.6774945,-83.4246415
26125144400,42.6760072,-83.3950352
26125144500,42.6756148,-83.3389254
26125144600,42.6630592,-83.3742002
26125144701,42.6483901,-83.3558027
26125144800,42.646978,-83.3728813
26125144900,42.6528941,-83.3957621
