geoid,year,rho_H,rho_W,In,Out
01001020600,2020,0.0,0.0,0.0,1.0
01001020804,2020,0.0,0.0,0.0,1.0
01001020805,2020,0.0,0.0,0.0,2.0
01001020902,2020,0.0,0.0,0.0,1.0
01003010500,2020,0.0,0.0,0.0,1.0
01003010708,2020,0.0,0.0,0.0,1.0
01003010709,2020,0.0,0.0,0.0,1.0
01003010903,2020,0.0,0.0,0.0,1.0
01003011201,2020,0.0,0.0,0.0,1.0
01005950900,2020,0.0,0.0,0.0,1.0
01009050106,2020,0.0,0.0,0.0,1.0
01009050604,2020,0.0,0.0,0.0,1.0
01009050701,2020,0.0,0.0,0.0,1.0
01011952500,2020,0.0,0.0,0.0,1.0
01013953400,2020,0.0,0.0,0.0,1.0
01015000700,2020,0.0,0.0,0.0,1.0
01015001000,2020,0.0,0.0,0.0,1.0
01015001103,2020,0.0,0.0,0.0,1.0
01015002102,2020,0.0,0.0,0.0,2.0
01017954700,2020,0.0,0.0,0.0,1.0
01021060300,2020,0.0,0.0,0.0,1.0
01021060403,2020,0.0,0.0,0.0,1.0
01021060404,2020,0.0,0.0,0.0,1.0
01023956800,2020,0.0,0.0,0.0,1.0
01031011203,2020,0.0,0.0,0.0,1.0
01031011206,2020,0.0,0.0,0.0,1.0
01031011300,2020,0.0,0.0,0.0,1.0
01033020300,2020,0.0,0.0,0.0,1.0
01033020600,2020,0.0,0.0,0.0,1.0
01033020703,2020,0.0,0.0,0.0,1.0
01039961900,2020,0.0,0.0,0.0,1.0
01039962600,2020,0.0,0.0,0.0,1.0
01039962900,2020,0.0,0.0,0.0,1.0
01043965100,2020,0.0,0.0,0.0,1.0
01045021102,2020,0.0,0.0,0.0,1.0
01045021300,2020,0.0,0.0,0.0,1.0
01049960701,2020,0.0,0.0,0.0,1.0
01049960900,2020,0.0,0.0,0.0,1.0
01051030101,2020,0.0,0.0,0.0,1.0
01051030103,2020,0.0,0.0,0.0,1.0
01051030500,2020,0.0,0.0,0.0,1.0
01051030702,2020,0.0,0.0,0.0,1.0
01055001100,2020,0.0,0.0,0.0,1.0
01059973600,2020,0.0,0.0,0.0,1.0
01067030200,2020,0.0,0.0,0.0,1.0
01069041500,2020,0.0,0.0,0.0,1.0
01071950102,2020,0.0,0.0,0.0,1.0
01071950500,2020,0.0,0.0,0.0,2.0
01071950601,2020,0.0,0.0,0.0,1.0
01071950602,2020,0.0,0.0,0.0,1.0
01073003700,2020,0.0,0.0,0.0,1.0
01073003802,2020,0.0,0.0,0.0,1.0
01073004501,2020,0.0,0.0,0.0,1.0
01073004902,2020,0.0,0.0,0.0,1.0
01073005600,2020,0.0,0.0,0.0,1.0
01073005701,2020,0.0,0.0,0.0,1.0
01073005903,2020,0.0,0.0,0.0,1.0
01073005908,2020,0.0,0.0,0.0,1.0
01073010704,2020,0.0,0.0,0.0,1.0
01073011108,2020,0.0,0.0,0.0,1.0
01073011206,2020,0.0,0.0,0.0,1.0
01073011209,2020,0.0,0.0,0.0,1.0
01073011304,2020,0.0,0.0,0.0,1.0
01073011710,2020,0.0,0.0,0.0,1.0
01073012001,2020,0.0,0.0,0.0,1.0
01073012910,2020,0.0,0.0,0.0,1.0
01073012911,2020,0.0,0.0,0.0,1.0
01073013300,2020,0.0,0.0,0.0,2.0
01073013601,2020,0.0,0.0,0.0,1.0
01073014209,2020,0.0,0.0,0.0,1.0
01073014404,2020,0.0,0.0,0.0,2.0
01077011102,2020,0.0,0.0,0.0,1.0
01077011502,2020,0.0,0.0,0.0,1.0
01077011606,2020,0.0,0.0,0.0,1.0
01081040202,2020,0.0,0.0,0.0,1.0
01081040401,2020,0.0,0.0,0.0,2.0
01081040501,2020,0.0,0.0,0.0,1.0
01083020402,2020,0.0,0.0,0.0,1.0
01083020600,2020,0.0,0.0,0.0,1.0
01083020700,2020,0.0,0.0,0.0,1.0
01083020803,2020,0.0,0.0,0.0,1.0
01087231602,2020,0.0,0.0,0.0,1.0
01089000203,2020,0.0,0.0,0.0,1.0
01089000301,2020,0.0,0.0,0.0,1.0
01089002100,2020,0.0,0.0,0.0,1.0
01089002801,2020,0.0,0.0,0.0,1.0
01089002804,2020,0.0,0.0,0.0,1.0
01089002924,2020,0.0,0.0,0.0,1.0
01089010612,2020,0.0,0.0,0.0,1.0
01089010623,2020,0.0,0.0,0.0,1.0
01089010705,2020,0.0,0.0,0.0,2.0
01089010706,2020,0.0,0.0,0.0,1.0
01089011025,2020,0.0,0.0,0.0,2.0
01093964500,2020,0.0,0.0,0.0,1.0
01097003606,2020,0.0,0.0,0.0,1.0
01097003704,2020,0.0,0.0,0.0,1.0
01097005900,2020,0.0,0.0,0.0,1.0
01097006403,2020,0.0,0.0,0.0,1.0
01097006407,2020,0.0,0.0,0.0,1.0
01097006408,2020,0.0,0.0,0.0,1.0
01097006505,2020,0.0,0.0,0.0,1.0
01097006704,2020,0.0,0.0,0.0,1.0
01097007300,2020,0.0,0.0,0.0,1.0
01099076102,2020,0.0,0.0,0.0,1.0
01101001700,2020,0.0,0.0,0.0,1.0
01101002400,2020,0.0,0.0,0.0,2.0
01101002800,2020,0.0,0.0,0.0,1.0
01101002902,2020,0.0,0.0,0.0,1.0
01101003100,2020,0.0,0.0,0.0,1.0
01101003200,2020,0.0,0.0,0.0,1.0
01101005402,2020,0.0,0.0,0.0,1.0
01101005410,2020,0.0,0.0,0.0,1.0
01101005412,2020,0.0,0.0,0.0,1.0
01101005605,2020,0.0,0.0,0.0,1.0
01101005614,2020,0.0,0.0,0.0,1.0
01101005700,2020,0.0,0.0,0.0,1.0
01103005108,2020,0.0,0.0,0.0,1.0
01103005500,2020,0.0,0.0,0.0,1.0
01103005601,2020,0.0,0.0,0.0,1.0
01103005701,2020,0.0,0.0,0.0,1.0
01105687002,2020,0.0,0.0,0.0,1.0
01109188700,2020,0.0,0.0,0.0,1.0
01109189300,2020,0.0,0.0,0.0,1.0
01113030905,2020,0.0,0.0,0.0,1.0
01115040109,2020,0.0,0.0,0.0,1.0
01115040211,2020,0.0,0.0,0.0,1.0
01115040213,2020,0.0,0.0,0.0,1.0
01117030319,2020,0.0,0.0,0.0,3.0
01117030330,2020,0.0,0.0,0.0,1.0
01117030331,2020,0.0,0.0,0.0,1.0
01117030346,2020,0.0,0.0,0.0,1.0
01117030347,2020,0.0,0.0,0.0,1.0
01117030616,2020,0.0,0.0,0.0,1.0
01117030704,2020,0.0,0.0,0.0,1.0
01119011500,2020,0.0,0.0,0.0,1.0
01121011302,2020,0.0,0.0,0.0,1.0
01121011502,2020,0.0,0.0,0.0,1.0
01123962100,2020,0.0,0.0,0.0,1.0
01125010204,2020,0.0,0.0,0.0,1.0
01125010704,2020,0.0,0.0,0.0,1.0
01125012304,2020,0.0,0.0,0.0,1.0
01125012408,2020,0.0,0.0,0.0,1.0
01127020200,2020,0.0,0.0,0.0,1.0
01127020801,2020,0.0,0.0,0.0,1.0
01127020900,2020,0.0,0.0,0.0,2.0
01127021700,2020,0.0,0.0,0.0,2.0
01131035100,2020,0.0,0.0,0.0,1.0
02020000102,2020,0.0,0.0,0.0,1.0
02020000201,2020,0.0,0.0,0.0,1.0
02020000205,2020,0.0,0.0,0.0,1.0
02020000500,2020,0.0,0.0,0.0,1.0
02020001702,2020,0.0,0.0,0.0,2.0
02020001731,2020,0.0,0.0,0.0,1.0
02020001802,2020,0.0,0.0,0.0,1.0
02020002301,2020,0.0,0.0,0.0,1.0
02020002501,2020,0.0,0.0,0.0,1.0
02020002711,2020,0.0,0.0,0.0,2.0
02020002813,2020,0.0,0.0,0.0,1.0
02020002821,2020,0.0,0.0,0.0,2.0
02020002822,2020,0.0,0.0,0.0,1.0
02020980200,2020,0.0,0.0,0.0,1.0
02063000200,2020,0.0,0.0,0.0,1.0
02110000200,2020,0.0,0.0,0.0,1.0
02122000400,2020,0.0,0.0,0.0,2.0
02122000500,2020,0.0,0.0,0.0,1.0
02122001000,2020,0.0,0.0,0.0,1.0
02130000400,2020,0.0,0.0,0.0,1.0
02170000300,2020,0.0,0.0,0.0,1.0
02170000601,2020,0.0,0.0,0.0,1.0
02170000604,2020,0.0,0.0,0.0,1.0
02170001001,2020,0.0,0.0,0.0,1.0
02170001201,2020,0.0,0.0,0.0,1.0
02180000200,2020,0.0,0.0,0.0,1.0
04001970300,2020,0.0,0.0,0.0,1.0
04001970501,2020,0.0,0.0,0.0,1.0
04003000101,2020,0.0,0.0,0.0,1.0
04003000503,2020,0.0,0.0,0.0,1.0
04003001100,2020,0.0,0.0,0.0,1.0
04003001601,2020,0.0,0.0,0.0,1.0
04003001701,2020,0.0,0.0,0.0,1.0
04003001702,2020,0.0,0.0,0.0,1.0
04005001000,2020,0.0,0.0,0.0,1.0
04005001601,2020,0.0,0.0,0.0,1.0
04007001100,2020,0.0,0.0,0.0,1.0
04009961400,2020,0.0,0.0,0.0,1.0
04011960200,2020,0.0,0.0,0.0,1.0
04013010102,2020,0.0,0.0,0.0,3.0
04013040539,2020,0.0,0.0,0.0,1.0
04013040540,2020,0.0,0.0,0.0,1.0
04013050604,2020,0.0,0.0,0.0,1.0
04013060902,2020,0.0,0.0,0.0,1.0
04013061011,2020,0.0,0.0,0.0,2.0
04013061031,2020,0.0,0.0,0.0,1.0
04013061035,2020,0.0,0.0,0.0,1.0
04013061037,2020,0.0,0.0,0.0,1.0
04013061049,2020,0.0,0.0,0.0,2.0
04013061059,2020,0.0,0.0,0.0,1.0
04013061062,2020,0.0,0.0,0.0,1.0
04013061064,2020,0.0,0.0,0.0,1.0
04013071510,2020,0.0,0.0,0.0,1.0
04013071511,2020,0.0,0.0,0.0,1.0
04013071517,2020,0.0,0.0,0.0,1.0
04013071909,2020,0.0,0.0,0.0,1.0
04013082007,2020,0.0,0.0,0.0,1.0
04013082023,2020,0.0,0.0,0.0,1.0
04013082204,2020,0.0,0.0,0.0,1.0
04013082208,2020,0.0,0.0,0.0,2.0
04013082209,2020,0.0,0.0,0.0,1.0
04013092311,2020,0.0,0.0,0.0,1.0
04013092802,2020,0.0,0.0,0.0,1.0
