geoid,rhoH_2020,rhoH_2021,drhoH,rhoW_2020,rhoW_2021,drhoW,In_2020,In_2021,dIn,Out_2020,lat,lon,county
01001020600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01001
01001020804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01001
01001020805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01001
01001020902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01001
01003010500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01003
01003010708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01003
01003010709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01003
01003010903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01003
01003011201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01003
01005950900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01005
01009050106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01009
01009050604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01009
01009050701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01009
01011952500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01011
01013953400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01013
01015000700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01015
01015001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01015
01015001103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01015
01015002102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,01015
01017954700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01017
01021060300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01021
01021060403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01021
01021060404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01021
01023956800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01023
01031011203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01031
01031011206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01031
01031011300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01031
01033020300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01033
01033020600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01033
01033020703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01033
01039961900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,01039
