geoid,rhoH_2020,rhoH_2021,drhoH,rhoW_2020,rhoW_2021,drhoW,In_2020,In_2021,dIn,Out_2020
01001020600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01001020804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01001020805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01001020902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01003010500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01003010708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01003010709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01003010903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01003011201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01005950900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01009050106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01009050604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01009050701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01011952500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01013953400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01015000700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01015001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01015001103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01015002102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01017954700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01021060300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01021060403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01021060404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01023956800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01031011203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01031011206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01031011300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01033020300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01033020600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01033020703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01039961900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01039962600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01039962900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01043965100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01045021102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01045021300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01049960701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01049960900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01051030101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01051030103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01051030500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01051030702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01055001100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01059973600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01067030200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01069041500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01071950102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01071950500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01071950601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01071950602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073003700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073003802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073004501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073004902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073005600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073005701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073005903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073005908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073010704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073011108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073011206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073011209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073011304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073011710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073012001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073012910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073012911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073013300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01073013601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073014209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01073014404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
01077011102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01077011502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01077011606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01081040202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01081040401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
