geoid,year,rho_H,rho_W,In,Out,lat,lon,county
01001020600,2020,0.0,0.0,0.0,1.0,,,01001
01001020804,2020,0.0,0.0,0.0,1.0,,,01001
01001020805,2020,0.0,0.0,0.0,2.0,,,01001
01001020902,2020,0.0,0.0,0.0,1.0,,,01001
01003010500,2020,0.0,0.0,0.0,1.0,,,01003
01003010708,2020,0.0,0.0,0.0,1.0,,,01003
01003010709,2020,0.0,0.0,0.0,1.0,,,01003
01003010903,2020,0.0,0.0,0.0,1.0,,,01003
01003011201,2020,0.0,0.0,0.0,1.0,,,01003
01005950900,2020,0.0,0.0,0.0,1.0,,,01005
01009050106,2020,0.0,0.0,0.0,1.0,,,01009
01009050604,2020,0.0,0.0,0.0,1.0,,,01009
01009050701,2020,0.0,0.0,0.0,1.0,,,01009
01011952500,2020,0.0,0.0,0.0,1.0,,,01011
01013953400,2020,0.0,0.0,0.0,1.0,,,01013
01015000700,2020,0.0,0.0,0.0,1.0,,,01015
01015001000,2020,0.0,0.0,0.0,1.0,,,01015
01015001103,2020,0.0,0.0,0.0,1.0,,,01015
01015002102,2020,0.0,0.0,0.0,2.0,,,01015
01017954700,2020,0.0,0.0,0.0,1.0,,,01017
01021060300,2020,0.0,0.0,0.0,1.0,,,01021
01021060403,2020,0.0,0.0,0.0,1.0,,,01021
01021060404,2020,0.0,0.0,0.0,1.0,,,01021
01023956800,2020,0.0,0.0,0.0,1.0,,,01023
01031011203,2020,0.0,0.0,0.0,1.0,,,01031
01031011206,2020,0.0,0.0,0.0,1.0,,,01031
01031011300,2020,0.0,0.0,0.0,1.0,,,01031
01033020300,2020,0.0,0.0,0.0,1.0,,,01033
01033020600,2020,0.0,0.0,0.0,1.0,,,01033
01033020703,2020,0.0,0.0,0.0,1.0,,,01033
01039961900,2020,0.0,0.0,0.0,1.0,,,01039
01039962600,2020,0.0,0.0,0.0,1.0,,,01039
01039962900,2020,0.0,0.0,0.0,1.0,,,01039
01043965100,2020,0.0,0.0,0.0,1.0,,,01043
01045021102,2020,0.0,0.0,0.0,1.0,,,01045
01045021300,2020,0.0,0.0,0.0,1.0,,,01045
01049960701,2020,0.0,0.0,0.0,1.0,,,01049
01049960900,2020,0.0,0.0,0.0,1.0,,,01049
01051030101,2020,0.0,0.0,0.0,1.0,,,01051
01051030103,2020,0.0,0.0,0.0,1.0,,,01051
01051030500,2020,0.0,0.0,0.0,1.0,,,01051
01051030702,2020,0.0,0.0,0.0,1.0,,,01051
01055001100,2020,0.0,0.0,0.0,1.0,,,01055
01059973600,2020,0.0,0.0,0.0,1.0,,,01059
01067030200,2020,0.0,0.0,0.0,1.0,,,01067
01069041500,2020,0.0,0.0,0.0,1.0,,,01069
01071950102,2020,0.0,0.0,0.0,1.0,,,01071
01071950500,2020,0.0,0.0,0.0,2.0,,,01071
01071950601,2020,0.0,0.0,0.0,1.0,,,01071
01071950602,2020,0.0,0.0,0.0,1.0,,,01071
